Year,Month,Number,UTME,UTMN,House_dens,Road_Dist,Water_Dist,Dist_Farm,Dist_Forest,TE
2018,6,1017016,395637,5027165,7,0.01485439,0.177426495,0.48601809,0,13.34009961
2018,6,1017038,394956,5026892,7,0.017380769,0.266654534,0.611900608,0,12.7537002
2018,6,1017087,458728,4976062,22,0.105610877,0.11722511,0.990580524,0,21.39480078
2018,6,1017164,396428,5029040,7,0.009693767,0.087517875,0.372388904,0.475702101,6.110129883
2018,6,1017166,396404,5029102,7,0.073061834,0.150420444,0.306430948,0.528938333,5.966560059
2018,6,1017167,396389,5029041,7,0.034894942,0.119273438,0.345842312,0.509293209,5.895620117
2018,6,1017169,396221,5028819,7,0.002150672,0.240181789,0.324558697,0.412013718,7.016330078
2018,6,1017222,417209,5054490,9,0.052695821,0.220460621,0.429413831,0.09860555,3.045699951
2018,6,1017223,418741,5056131,9,0.001032607,0.353928231,0.059168447,0.079384983,13.9142002
2018,6,1017232,442011,5075265,14,0.000275488,0.188742162,0.227405604,0.008942455,19.49369922
2018,6,1017234,432472,5064658,7,0.05011816,0.146863315,0.338835836,0.180428008,7.479339844
2018,6,1017246,405265,5074473,16,0.000597386,0.771608134,0.449626127,0.432767775,5.969729981
2018,6,1017248,417482,5054750,9,0.019187063,0.115912748,0.566923284,0.176902101,2.382429932
2018,6,1017249,416999,5054642,9,0.025378625,0.277031672,0.647610257,0.136131408,4.01002002
2018,6,1017339,396476,5028820,7,0.053953921,0.079918695,0.506279095,0.312426949,7.391810059
2018,6,1017341,395673,5028594,7,0.068810129,0.03051401,0.327422484,0.021426097,9.365679688
2018,6,1017406,446235,5078112,12,0.067130382,0.1150033,0.182243785,0.067380767,10.97709961
2018,6,1017408,433348,4952427,68,0.782038876,0.313768036,2.348059463,0.002265871,28.15059961
2018,6,1017409,441007,4932462,53,0.049648729,0.259100939,7.773094122,0.047531108,15.1082998
2018,6,1017416,433417,4952311,68,0.661368153,0.32167382,2.338534179,0,28.669
2018,6,1017425,417936,5055648,9,0.017059893,0.821045935,0.268979414,0.620927042,1.271709961
2018,6,1017427,578767,5037667,11,0.008371129,0.102521718,0.074719813,0.000245589,18.71880078
2018,6,1017548,576401,5029647,7,0.065566415,0.03324637,0.205466015,0.016085375,18.48840039
2018,7,1017601,457289,5027675,12,0.004038617,0.214575382,0.072003534,0.076092262,14.9942998
2018,5,1017694,441573,4934823,77,0.041557861,0.333030999,6.091301303,0,19.622
2018,6,1017742,415864,5053718,9,0.029498275,0.167328663,0.233869757,0.050732868,13.5892998
2018,6,1017747,453853,5080147,11,0.032088456,0.201076197,0.022570462,0.089609722,13.40009961
2018,6,1017749,417244,5056894,10,0.028660925,0.086900981,0.144466319,0.081154602,19.35559961
2018,6,1017750,479201,5071747,12,0.028739613,0.08561022,0,0.214384351,22.40040039
2018,6,1017754,409023,5072995,17,0.037268814,0.038464897,0.192875723,0.016466441,19.02209961
2018,6,1017759,431773,5064274,7,0.03739438,0.110150877,0.149792611,0.344298444,17.05709961
2018,6,1017761,447343,5077941,12,0.087161525,0.097184701,0.135397598,0.078611196,7.377970215
2018,6,1017777,439256,5067935,12,0.026620183,0.217445239,0,0.123638152,17.903
2018,6,1017778,449016,5076116,12,0.054626184,0.257475609,0,0.215588936,10.2717998
2018,6,1017787,412405,5056117,10,0.936701128,0.012807946,1.18632326,0,17.87530078
2018,6,1017789,417557,5054614,9,0.062652076,0.139324336,0.412932227,0.024374458,3.057729981
2018,6,1017790,415921,5053724,9,0.019879632,0.175336097,0.245161299,0.034967126,13.401
2018,6,1017792,415429,5054168,9,0.026467649,0.496134281,0.077650519,0.04185333,16.542
2018,6,1017795,409098,5076670,16,0.033402962,0.258634487,0.043270628,0.136805217,10.72590039
2018,6,1017796,445083,5061826,8,0.084928827,0.176768456,0.097472311,0.104738325,18.80709961
2018,7,1017892,361171,4870060,15,0.024553169,0.015291305,3.965733339,0,17.57969922
2018,7,1017893,359763,4869486,15,0.154033061,0.355547459,3.931613033,0.065878635,21.13769922
2018,7,1018013,585197,5049952,21,0.028931691,0.186906864,0.075522315,0.077330808,12.18959961
2018,7,1018064,650308,5131775,9,0.044406613,0.009540734,0.045140496,0,22.79219922
2018,7,1018082,581351,5051260,20,0.035149342,0.105764844,0.144376051,0.036405623,16.0245
2018,7,1018093,637229,5131775,8,0.270727407,0.110274844,0.119145012,0,17.75190039
2018,7,1018099,629695,5053036,13,0.004039619,0.493120475,5.76193465,0.185953908,20.88730078
2018,7,1018152,671383,5109422,9,0.054287657,0.223918773,1.012867776,0.029391815,23.91540039
2018,5,1018244,441765,4934751,77,0.054315988,0.413287375,6.271413194,0.128935555,17.0465
2018,6,1018279,457619,4975031,25,0.082703311,0.111625803,1.398256767,0.096199695,20.2765
2018,7,1018364,409890,5072853,17,0.002009209,0.155722106,0.009138614,0.188610583,18.36559961
2018,7,1018409,414584,5074794,16,0.034893069,0.114565499,0,0.156211885,20.45240039
2018,7,1018421,421211,5092981,7,0.037503562,0.177466498,0.189718338,0.046915492,18.98959961
2018,7,1018438,449248,5077621,12,0.039443158,0.041409266,0.064606277,0.445417126,9.478219727
2018,8,1018569,563056,5066093,5,0.065253892,0.370381856,0.631692922,0,17.7905
2018,8,1018670,435327,4945815,71,0.754460266,0.177629268,6.358192188,0.013077899,21.89719922
2018,8,1018684,404958,5073754,16,0.069537833,0.183978337,0.382385406,0.074887565,13.7995
2018,8,1018711,521420,5044236,43,0.001575977,0.102884865,0.254462478,0.003202109,13.8497998
2018,8,1018712,507208,5050788,12,0.054054634,0.071773706,0.270528735,0.041817112,21.35240039
2018,8,1018713,524670,5062489,27,0.107292607,0.079454353,0.322042624,0.012200558,25.96230078
2018,7,1018784,446189,4938784,128,0.025715331,0.160345088,4.290500603,0.053085317,22.781
2018,7,1018787,460638,4948636,172,0.07337567,0.033716922,2.855182107,0.57069573,7.23775
2018,7,1018789,437781,4946977,115,0.002119219,0.328819435,6.395093192,0.123464834,15.4837998
2018,7,1018793,437494,4955887,105,0.382941342,0.21722884,2.736750998,0.04651819,16.85880078
2018,6,1018808,431784,4950743,45,0.397656088,0.14533709,0.415961064,0.023234852,24.37580078
2018,7,1018810,440399,4951271,127,0.0468215,0.144148878,1.845233327,0.2360434,10.399
2018,7,1018811,434515,4947182,71,0.202061748,0.28827344,4.893450766,0,21.11169922
2018,7,1018814,460295,4951192,170,0.027774713,0.43165647,4.034556549,0.054868732,27.42119922
2018,7,1019269,407045,5069872,17,0.030102065,0.036401499,0.058305862,0,11.2862002
2018,9,1019297,407035,5077421,16,0.190178508,0.237956113,0.022090576,0.151533379,0.846359985
2018,7,1019312,432836,5064897,7,0.003811689,0.008316033,0.1805737,0.212444956,6.880580078
2018,6,1019329,456096,5049462,7,0.082769776,0.031182734,0.816157484,0.03611887,15.2205
2018,6,1019332,431923,5063569,7,0.018985525,0.082678868,0.173234926,0.057536063,21.03630078
2018,6,1019338,409222,5072659,17,0.009955833,0.135796125,0.140796538,0.101664507,18.75140039
2018,9,1019347,443140,5079987,12,0.055404479,0.22876564,0.094574582,0.062865877,8.194349609
2018,7,1019376,448973,5078335,12,0.087073583,0.216675671,0.046690965,0.068565545,5.133009766
2018,9,1019388,408757,5074330,16,0.005178223,0.142909529,0.092316557,0.061249145,14.8407002
2018,9,1019395,362458,4990120,28,0.020933098,0.184154338,0.061161822,0.061161822,12.91109961
2018,10,1019485,526882,5033426,23,0.120216437,0.124021017,0.391259178,0,18.405
2018,10,1019509,600762,5024906,3,0.193924968,0.036905655,0.394604827,0,14.99190039
2018,10,1019561,604050,5034673,5,0.002828552,0.157416101,1.971566351,0.0061769,25.18669922
2018,8,1019575,385027,4990433,44,0.002117617,0.103068563,1.55233084,0.093376194,18.73980078
2018,8,1019601,378768,4991089,40,0.39536724,0.15749622,0.939235731,0.03554762,17.493
2018,10,1019677,454111,5080051,11,0.115535467,0.283228214,0,0.01388027,13.32190039
2018,7,1019855,445861,4968754,63,0.064412842,0.071854577,2.18421754,0.023590153,21.07040039
2018,5,1019898,432204,5064772,7,0.001087542,0.123070369,0.047752641,0.393784884,8.785360352
2018,5,1019902,415093,5067015,21,0.0028508,0.143547148,0.07744936,0.06339535,20.57919922
2018,5,1019904,414072,5068545,22,0.006318229,0.416636352,0.087589842,0.039852173,20.33780078
2018,9,1020058,434002,4952096,93,0.117719944,0.543568029,2.75560347,0.036735446,27.04380078
2018,6,1020142,499992,4956624,12,0.104235316,0.122281072,1.965954505,0.013597105,18.99040039
2018,11,1020151,626441,5031694,7,0.1193618,0.111562439,0.036431456,0,24.95009961
2018,7,1020154,510922,4952887,7,0.002741403,0.059288939,0.630548772,0.040357364,15.3667002
2018,11,1020291,419571,5093335,6,0.002525325,0.222546999,0.00912581,0.035157978,12.551
2018,5,1020315,410436,5073713,16,0.002015185,0.197119442,0.412177864,0.013908065,17.99540039
2018,12,1020385,368189,4990405,30,0.000807293,0.108268835,0.123666651,0.14089743,18.23559961
2018,8,1020509,482508,5024014,39,0.028099324,0.121381854,0,0.268294421,9.009790039
2018,10,1020572,425475,4930982,19,0.140896193,0.401637399,2.84482379,0,19.93790039
2018,9,1020733,466541,4940936,102,0.000393494,0.092024132,0.194990513,0.12863232,17.22430078
2019,1,1020812,450941,4965389,68,0.182477288,0.016365806,3.751315426,0.008894024,15.19759961
2018,9,1020905,441160,4945451,147,1.62E-05,0.152565466,6.700432973,0.203652672,18.14109961
2018,9,1020992,438885,4946165,115,0.001142373,0.054637851,6.477722888,0.044330435,25.72840039
2018,9,1020993,436499,4955123,97,0.411908017,0.386486709,2.781623654,0,26.1505
2018,9,1020994,436023,4955069,97,0.069233867,0.027816475,3.136400527,0.022805124,26.88469922
2018,9,1020995,437043,4955334,97,0.187420901,0.248255141,2.530654216,0.08262363,19.19569922
2018,9,1020999,433772,4952364,68,0.441943321,0.322614766,2.668675969,0.037837025,31.19780078
2018,5,1021205,487520,5050714,7,0.004455826,0.097587922,0.166788005,0,15.07159961
2019,3,1021304,314223,4848672,11,0.009278574,0.344526403,0.399590281,0.008150077,21.03019922
2018,12,1021348,419992,4985324,24,0.112316798,0.10057022,0,0.000656501,20.80680078
2019,5,1021824,354034,4982722,27,0.004359832,0.105002034,0.059318915,0.062160294,19.47219922
2019,4,1021955,513608,5061772,20,0.006267499,0.485078634,0.016213538,0.046284408,25.78909961
2019,5,1021957,527844,5042159,41,0.001569017,0.051979433,0.319750002,0.128262884,16.1365
2019,5,1021958,520737,5046482,47,0.136717107,0.176264318,0.212647539,0.049712649,28.682
2019,5,1022032,405306,5069311,17,0.050232333,0.293540702,0.212987631,0,14.0622002
2019,5,1022038,520576,5043776,42,0.001984271,0.505098454,0.012158705,0.011416841,18.00519922
2019,5,1022063,407516,5077586,16,0.03610335,0.026749163,0.045450103,0.60971736,2.529939941
2019,5,1022069,402123,5051509,4,0.002218771,0.1280206,0.561058015,0,14.3112002
2019,5,1022144,340073,4978951,27,0.006999699,0.086690586,0.077293691,0.006358906,25.70359961
2019,5,1022156,473514,5030871,40,0.007611733,0.097718139,0.002225473,0.072048822,17.44519922
2019,5,1022182,324377,4975226,15,0.002286711,0.31826723,0.333724314,0.009736067,11.43209961
2019,5,1022184,395889,5028534,7,0.004881054,0.133790289,0.407460678,0.129240776,9.125089844
2019,5,1022191,636583,5041421,6,0.027894057,0.258654421,2.435033585,0.033705923,17.58730078
2019,5,1022192,395217,5026905,7,0.014890149,0.41634825,0.533272805,0,13.23640039
2019,5,1022196,384632,4951045,8,0.003130629,0.470717046,0.005519499,0.014477734,18.641
2019,5,1022247,295615,4945019,16,0.00497627,0.400615282,0.468265926,0.033041183,22.99340039
2019,6,1022253,309097,4827282,7,0.011783345,0.274795294,3.16676274,0.051568938,25.18830078
2019,6,1022263,331691,4968827,15,0.000284073,0.170201755,0.067108672,0.031600599,16.61459961
2019,6,1022266,395850,5025699,7,0.00052,0.254013082,0.43121208,0.017495604,14.13140039
2019,5,1022268,395271,5025390,7,0.284699983,0.110962212,0.459888204,0,13.6065
2019,6,1022274,408036,4983065,24,0.000890478,0.255599686,0.17371867,0.221899944,5.39425
2019,5,1022284,407641,5068576,17,0.007226525,0.128003245,0.036420179,0.00233153,14.8182002
2019,6,1022294,422610,5007855,2,0.00100303,0.018378785,0.141917879,0,21.19090039
2019,5,1022310,395895,5028549,7,0.000325325,0.143965648,0.393605393,0.137032605,9.056120117
