Year,Month,Number,UTME,UTMN,House_dens,Road_Dist,Water_Dist,Dist_Farm,Dist_Forest,TE
2017,12,1,583512.32,5032155.242,7,0.141188093,0.114638514,0.073444439,0,14.0837002
2017,6,2,393149.3865,5003436.696,25,0.444832304,0.160144908,0,0.039142834,3.594429932
2017,11,3,409510.9114,4925090.828,16,0.135734074,0.01160946,0.395108898,0.252122474,4.294669922
2017,2,4,337598.0139,4944373.018,2,0.570946471,0.040793603,9.776948622,0.040762788,11.37040039
2017,7,5,339254.9731,4947366.372,3,0.405769057,0.074243845,8.113235442,0,13.24890039
2017,9,6,618351.9365,5015707.281,6,0.536684275,0.008727538,7.647898461,0.00873695,12.8222998
2017,4,7,669615.8616,5063376.761,12,0.479999097,0.117395334,3.053548031,0,11.28390039
2017,1,8,317782.546,4844592.496,14,0.584859015,0.056442388,4.126353976,0,14.5687998
2017,11,9,302306.2031,4921099.237,0,4.203393254,0.506629393,15.58586601,0,6.571919922
2017,2,10,618010.4239,5055508.358,15,1.823249413,0.213127936,2.965477334,0,5.58627002
2017,11,11,549800.9629,5029277.039,2,0.378254803,0.367082897,3.297879605,0,11.446
2017,1,12,674871.4835,5167999.957,0,3.683716893,0.074069104,19.56118646,0,15.6795
2017,6,13,712910.4511,5126759.794,62,0.462398396,0.060472725,0.89735592,0.531074146,2.429409912
2017,7,14,518527.2608,5009219.274,2,0.025358154,0.051020196,5.329990255,0.014666342,14.76159961
2017,6,15,373978.1344,4916301.406,34,0.119192398,0.092295786,0.435204013,0,10.5222002
2017,4,16,655099.1204,5155193.764,11,2.907475312,0.22629571,4.244532425,0,14.35140039
2017,5,17,471214.7623,5029339.435,40,0.179463677,0.472330409,0.191337125,0,15.569
2017,4,18,582908.0954,5045747.897,20,0.486244024,0.224076945,1.359595754,0,9.963660156
2017,12,19,439960.9422,5070595.212,13,0.354918063,0.060932142,0.111992409,0,12.434
2017,4,20,625128.1953,5110504.594,9,0.999421178,0.095910777,0.943129008,0,5.892609863
2017,12,21,468412.102,4997093.365,13,0.477209954,0.202419767,0,0.483973591,4.814870117
2017,1,22,393608.7352,4917992.195,40,0.106600453,0.130769311,0,0.04179181,15.34759961
2017,6,23,312056.453,4875221.505,1,0.414698109,0.158301798,6.928887595,0,7.005069824
2017,1,24,302921.5096,4917001.619,0,7.783041104,0.46368652,19.57016885,0,7.922810059
2017,9,25,730525.0665,5119190.187,63,0.098253662,0.179419798,0.394098934,0.084889008,11.7312002
2017,4,26,314948.9885,4910358.905,0,2.078229548,0.032785169,13.28581918,0,5.737950195
2017,11,27,338074.7627,4868381.281,1,3.730809326,0.736185382,4.606220725,0.004127987,15.44659961
2017,2,28,425406.5052,5075314.558,8,0.036858456,0.205195965,2.420339871,0,6.778589844
2017,2,29,489797.1201,4977437.781,5,0.229732554,0.056226706,4.474413423,0,21.44830078
2017,4,30,307890.3948,4894587.719,0,4.995057772,0.368706232,22.04261483,0,7.706680176
2017,3,31,668456.8524,5062832.13,12,0.001158811,0.267045626,1.86686817,0.002492943,13.583
2017,9,32,273442.5494,4946583.609,12,0.258224042,0.319900035,0.812107476,0,8.838099609
2017,8,33,679385.1325,5061825.804,11,0.580782053,0.353753845,2.302000183,0,16.90930078
2017,3,34,736433.7725,5095489.585,10,0.710381681,0.349857723,5.29421297,0,14.50140039
2017,5,35,287708.8362,4834255.521,12,2.047301348,0.262781725,7.884382979,0,8.167839844
2017,9,36,510366.4078,5047281.577,18,0.034515961,0.038774038,1.122969342,0.003452869,10.6287998
2017,1,37,350750.6105,4881246.73,10,2.758132568,0.055853816,7.398025762,0.051205315,14.6512998
2017,3,38,456718.024,5028322.016,12,0.314968579,0.293836125,0,0.090056079,11.7682998
2017,4,39,272119.9143,4854795.122,14,0.020112433,0.27588306,1.773942183,0,10.76840039
2017,12,40,426884.6894,4993173.617,9,0.05703975,0.17829025,0,0.016971127,11.02040039
2017,2,41,380422.1196,4904100.932,37,0.791074275,0.071228054,0.337150649,0,15.81559961
2017,8,42,368602.4246,4896038.537,13,0.520922466,0.349773604,2.648745051,0,9.842290039
2017,2,43,374774.4494,4962704.768,8,0.015645865,0.770571497,2.48158927,0,7.486620117
2017,5,44,694138.2318,5097093.036,9,1.241006831,0.112027842,1.91131553,0,7.277450195
2017,12,45,240045.6123,4912796.957,8,1.438413703,0.044991587,1.284564908,0,5.812979981
2017,6,46,436178.6007,4980696.952,12,1.353332293,0.115854929,2.236670251,0,14.8252998
2017,5,47,390648.1248,4988367.349,35,0.006596091,0.087275001,0.231909896,0,15.9265
2017,9,48,564992.2163,5017294.808,3,0.113765379,0.175296866,3.818652241,0.024892257,16.12590039
2017,6,49,583373.7283,5017227.702,5,0.627743954,0.032965973,1.121195918,0,15.08359961
2017,3,50,455726.7525,5057912.212,7,0.129075067,0.450516584,0.029431938,0,17.131
2017,1,51,581032.5044,5036035.331,9,0.58048079,0.22817505,1.42553991,0,9.663339844
2017,7,52,492120.146,4987398.859,5,0.794417172,0.479293745,0.536608507,0,15.44690039
2017,4,53,310547.6393,4832439.195,8,0.039777469,0.222226608,8.349173969,0,21.88809961
2017,3,54,421433.7712,5056770.867,11,0.138758098,0.201358193,0.256384379,0,16.059
2017,9,55,584625.1676,5024308.971,6,0.010731635,0.09110023,1.645904075,0,13.14890039
2017,10,56,626305.0935,5093360.912,10,0.121596122,0.39689293,1.001846849,0,18.9475
2017,6,57,285507.5545,4911666.036,0,0.218755613,0.432258714,13.54317371,0,7.661470215
2017,3,58,542079.2775,5047776.675,19,0.085489294,0.225319909,0.897477098,0,16.91169922
2017,9,59,700050.2141,5103069.623,17,0.463189118,0.307001617,2.735695762,0,8.746200195
2017,5,60,365335.8032,4943905.359,14,1.330720969,0.118918571,1.128692638,0,15.80309961
2017,12,61,303698.0968,4864104.501,2,0.127169553,0.008608045,1.123896328,0.057520204,9.766389648
2017,3,62,329358.1229,4862369.282,2,1.506343335,0.604882836,5.138103566,0,10.601
2017,5,63,288884.1409,4826986.44,16,0.79134716,0.095365611,1.360600568,0,14.3457002
2017,8,64,507258.4161,5022575.729,2,0.539030494,0.090974496,6.731822411,0,16.4475
2017,3,65,675856.6582,5114137.349,8,0.342058339,0.094964102,0.857554226,0,17.47569922
2017,5,66,287681.8893,4813799.104,12,0.479388176,0.378868768,9.238209092,0.13148412,10.62209961
2017,11,67,382951.711,4920423.373,46,0.437985401,0.153636667,0.372031297,0,20.96230078
2017,2,68,521047.8963,5043192.391,43,0.19588769,0.25095587,0,0.06410472,14.69659961
2017,11,69,282887.4489,4890834.405,1,1.605318283,0.037428236,5.925666085,0.03750961,10.1595
2017,5,70,300599.7083,4837720.335,7,0.797498168,0.142583013,1.670592606,0,14.2715
2017,10,71,507774.4084,4999149.908,5,0.478294678,0.546039007,1.218044843,0,11.8862002
2017,10,72,493858.4675,5056473.349,10,0.350591057,0.101374082,0.10871588,0,17.71609961
2017,11,73,286707.045,4900904.081,0,7.088207411,0.109309995,16.57290613,0.109366963,10.8617002
2017,4,74,412017.8275,5080518.419,16,0.135461933,0.020733245,0.985132582,0,14.38959961
2017,1,75,431892.3821,5006311.599,4,2.680529422,0.102253196,6.261730767,0,11.1237998
2017,3,76,304056.628,4928792.756,2,3.230360686,0.07022131,7.724632166,0.070226498,9.146290039
2017,12,77,427126.0046,5077791.546,11,0.139239996,0.222193569,2.083149589,0,10.304
2017,1,78,289322.1308,4862490.478,0,2.471369007,0.158106634,9.4562547,0.056778816,23.11269922
2017,2,79,469133.8759,5001566.776,13,0.369376317,0.061497232,0,0.043692253,13.5187002
2017,5,80,367734.0302,4958052.593,7,0.1046757,0.361970593,1.2210752,0,10.75290039
2017,12,81,373616.6375,4953876.503,10,0.381196808,0.066389452,0.779297544,0,12.8885
2017,3,82,555849.1378,5053270.824,6,0.427034011,0.564623432,0.438842354,0,14.25490039
2017,5,83,347084.6911,4925762.638,8,0.880615519,0.439179515,2.775112541,0.010921422,11.9807998
2017,3,84,733238.6472,5100173.545,14,1.297714113,0.555558872,1.185473404,0,10.622
2017,3,85,422408.037,5057518.876,11,0.05992368,0.182192594,0.326226166,0,15.7592998
2017,12,86,697211.9563,5097185.96,11,0.590569737,0.133189754,0.670452139,0,8.979469727
2017,1,87,357953.6645,4923039.748,18,0.143997194,0.102827017,1.406091422,0,11.1602998
2017,8,88,637194.3216,5066617.017,8,1.040170076,0.361093749,1.151523449,0,9.311570313
2017,5,89,502569.2566,4997843.77,6,0.221342425,0.170784552,0.410329278,0,13.5412998
2017,9,90,565621.6856,4998105.524,1,0.185654617,0.240768057,8.707660796,0,18.84909961
2017,9,91,510810.7305,5025724.832,3,0.714430556,0.578456414,4.325739471,0,8.839759766
2017,8,92,302002.4022,4916469.099,0,7.858986242,0.126984448,19.76048453,0,9.357490234
2017,9,93,486031.6883,5034052.212,29,1.497814702,0.053725388,2.238066321,0,11.3347998
2017,1,94,661851.7248,5061477.461,15,1.053075557,0.002233448,0.49663709,0,18.38019922
2017,7,95,425120.4992,5066387.68,10,0.46803708,0.179764379,2.969847901,0,6.175419922
2017,9,96,278193.8421,4939602.474,17,0.814870482,0.476190787,0.066429465,0,10.1955
2017,7,97,409107.6658,4968459.599,13,2.448285886,0.057958921,7.129579864,0.003208673,15.3272002
2017,12,98,246701.2987,4864379.289,21,0.162166102,0.0544233,0,0.026455483,11.08940039
2017,3,99,650976.171,5128689.866,8,0.395979622,0.085794044,1.865714906,0,7.958430176
2017,2,100,494944.1371,4952386.884,15,0.579092169,0.263616298,7.798061603,0,12.40640039
2017,11,101,431005.2918,4955067.661,50,0.895516486,0.014542719,1.955920002,0.170753787,14.48440039
2017,11,102,489083.502,5034775.108,17,0.519702263,0.007416583,3.866637044,0,14.15340039
